timestamp,sessionId,userChoice,computerChoice,result,userScore,computerScore,userChoiceLabel,computerChoiceLabel,resultLabel,userChoice_prev_1,computerChoice_prev_1,userChoice_prev_2,computerChoice_prev_2,userChoice_prev_3,computerChoice_prev_3,cluster
2025-05-19T10:26:26.335Z,session_1747649995288,rock,paper,Oops! You lose...! paper beats rock,19,24,1,0,-1,1.0,1.0,0.0,2.0,2.0,0.0,1
2025-05-19T10:26:28.649Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,19,25,0,2,-1,1.0,0.0,1.0,1.0,0.0,2.0,2
2025-05-19T10:26:29.240Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,19,26,0,2,-1,0.0,2.0,1.0,0.0,1.0,1.0,2
2025-05-19T10:26:29.674Z,session_1747649995288,paper,paper,It is a tie..!,19,26,0,0,0,0.0,2.0,0.0,2.0,1.0,0.0,1
2025-05-19T10:26:30.368Z,session_1747649995288,paper,paper,It is a tie..!,19,26,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,1
2025-05-19T10:26:31.023Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,19,27,0,2,-1,0.0,0.0,0.0,0.0,0.0,2.0,2
2025-05-19T10:26:31.891Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,19,28,0,2,-1,0.0,2.0,0.0,0.0,0.0,0.0,2
2025-05-19T10:26:33.087Z,session_1747649995288,scissor,paper,Hurrah! You win..! scissor beats paper,20,28,2,0,1,0.0,2.0,0.0,2.0,0.0,0.0,0
2025-05-19T10:26:34.859Z,session_1747649995288,paper,paper,It is a tie..!,20,28,0,0,0,2.0,0.0,0.0,2.0,0.0,2.0,1
2025-05-19T10:26:35.960Z,session_1747649995288,scissor,rock,Oops! You lose...! rock beats scissor,20,29,2,1,-1,0.0,0.0,2.0,0.0,0.0,2.0,1
